logicalCueKey,exactScript,flows,categories,policyId,requiredForVoiceFirst,lifecycle,reuseDecision,physicalCueKey,physicalManifestStatus,claraExists,marcusExists,semanticMatch,generationRequiredLater,retireLater,sourceArtifacts,notes
checkup-balance-complete-v21,Balance check complete.,balance_v2,completion,result_transition,true,physical_ready,reuse_exact_existing_pair,mpv2_balance_complete,manifested_pair,true,true,true,false,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing MPV2 completion is exact.
checkup-balance-feet-together-v21,Feet together. Keep your eyes open and support within reach.,balance_v2,balance_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-balance-feet-together-v21,manifested_pair,true,true,true,false,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing generic cue omits eyes-open/support language.
checkup-balance-intro-v21,Balance check. Keep support within easy reach. I will guide each stance.,balance_v2;movement_checkup,balance_setup;mpv2_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-balance-intro-v21,manifested_pair,true,true,true,false,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/audio/movementProfileV2AudioManifest.ts;src/movementProfileV2/voiceCues.ts;src/movements/balanceEyesOpenV2.ts,Approved V2.1 intro already exists. MPV2 source=approved_v21; priority=60.
checkup-balance-next-stance-v21,Nicely done. I will guide the next stance.,balance_v2,balance_control,result_transition,true,physical_ready,reuse_exact_existing_pair,checkup-balance-next-stance-v21,manifested_pair,true,true,true,false,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Generic completion lacks next-stance meaning.
checkup-balance-semi-tandem-left-v21,Place your left foot half a step forward. Keep your eyes open.,balance_v2,balance_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-balance-semi-tandem-left-v21,manifested_pair,true,true,true,false,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue has no selected lead-foot side.
checkup-balance-semi-tandem-right-v21,Place your right foot half a step forward. Keep your eyes open.,balance_v2,balance_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-balance-semi-tandem-right-v21,manifested_pair,true,true,true,false,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue has no selected lead-foot side.
checkup-balance-single-leg-left-v21,Stand on your left leg and lift your right foot slightly.,balance_v2,balance_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-balance-single-leg-left-v21,manifested_pair,true,true,true,false,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue uses placeholder selected leg.
checkup-balance-single-leg-right-v21,Stand on your right leg and lift your left foot slightly.,balance_v2,balance_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-balance-single-leg-right-v21,manifested_pair,true,true,true,false,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue uses placeholder selected leg.
checkup-balance-single-leg-v21,Single-leg. Stand on your selected leg and lift the other foot slightly.,movement_checkup,mpv2_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-balance-single-leg-v21,manifested_pair,true,true,true,false,false,src/audio/movementProfileV2AudioManifest.ts;src/movementProfileV2/voiceCues.ts,MPV2 source=approved_v21; priority=60.
checkup-balance-support-touch-v21,Support touch noted. Balance check complete.,balance_v2,balance_control,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-balance-support-touch-v21,manifested_pair,true,true,true,false,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Needed if explicit support-touch action should be acknowledged by voice.
